TIMESTAMP,POWER,DATETIME,HOURSTRING,HOUR,MINUTE,POWER_RNN_PRED
20120101 1:00,0.2736781568,20120101,1:00,1,00,0.0
20120101 2:00,0.0867959455,20120101,2:00,2,00,0.0
20120101 3:00,0.0068114015,20120101,3:00,3,00,0.0
20120101 4:00,0.0186459868,20120101,4:00,4,00,0.0
20120101 5:00,0.0348118328,20120101,5:00,5,00,0.39760124683380127
20120101 6:00,0.0219168973,20120101,6:00,6,00,0.2715141475200653
20120101 7:00,0.01823263,20120101,7:00,7,00,0.23648729920387268
20120101 8:00,0.0096419971,20120101,8:00,8,00,0.23520763218402863
20120101 9:00,0.0055353869,20120101,9:00,9,00,0.24583518505096436
20120101 10:00,0.01721721,20120101,10:00,10,00,0.24115335941314697
20120101 11:00,0.3099636965,20120101,11:00,11,00,0.23905088007450104
20120101 12:00,0.7259534165,20120101,12:00,12,00,0.19076959788799286
20120101 13:00,0.7495956292,20120101,13:00,13,00,0.1728752702474594
20120101 14:00,0.7055371841,20120101,14:00,14,00,0.172891303896904
20120101 15:00,0.8320603142,20120101,15:00,15,00,0.1876550316810608
20120101 16:00,0.8691725675,20120101,16:00,16,00,0.5673128962516785
20120101 17:00,0.8407138493,20120101,17:00,17,00,0.6354133486747742
20120101 18:00,0.883595126,20120101,18:00,18,00,0.5529570579528809
20120101 19:00,0.9623216275,20120101,19:00,19,00,0.6210533976554871
20120101 20:00,0.9568401567,20120101,20:00,20,00,0.6430755853652954
20120101 21:00,0.9211117501,20120101,21:00,21,00,0.6328091025352478
20120101 22:00,0.9073541569,20120101,22:00,22,00,0.63381427526474
20120101 23:00,0.9187574135,20120101,23:00,23,00,0.6629932522773743
20120102 0:00,0.8352323784,20120102,0:00,0,00,0.6652536988258362
20120102 1:00,0.5826264333,20120102,1:00,1,00,0.6720526814460754
20120102 2:00,0.3335969232,20120102,2:00,2,00,0.6890279054641724
20120102 3:00,0.1485209015,20120102,3:00,3,00,0.7049118876457214
20120102 4:00,0.1251033392,20120102,4:00,4,00,0.7150492668151855
20120102 5:00,0.0620214946,20120102,5:00,5,00,0.6359073519706726
20120102 6:00,0.0282520398,20120102,6:00,6,00,0.4725627899169922
